date,name,value
2017-10-01T05:00:00Z,harvey weinstein,0
2017-10-02T05:00:00Z,harvey weinstein,0
2017-10-03T05:00:00Z,harvey weinstein,0
2017-10-04T05:00:00Z,harvey weinstein,0
2017-10-05T05:00:00Z,harvey weinstein,2
2017-10-06T05:00:00Z,harvey weinstein,5
2017-10-07T05:00:00Z,harvey weinstein,4
2017-10-08T05:00:00Z,harvey weinstein,4
2017-10-09T05:00:00Z,harvey weinstein,8
2017-10-10T05:00:00Z,harvey weinstein,14
2017-10-11T05:00:00Z,harvey weinstein,20
2017-10-12T05:00:00Z,harvey weinstein,14
2017-10-13T05:00:00Z,harvey weinstein,9
2017-10-14T05:00:00Z,harvey weinstein,8
2017-10-15T05:00:00Z,harvey weinstein,8
2017-10-16T05:00:00Z,harvey weinstein,7
2017-10-17T05:00:00Z,harvey weinstein,5
2017-10-18T05:00:00Z,harvey weinstein,3
2017-10-19T05:00:00Z,harvey weinstein,2
2017-10-20T05:00:00Z,harvey weinstein,3
2017-10-21T05:00:00Z,harvey weinstein,2
2017-10-22T05:00:00Z,harvey weinstein,2
2017-10-23T05:00:00Z,harvey weinstein,1
2017-10-24T05:00:00Z,harvey weinstein,1
2017-10-25T05:00:00Z,harvey weinstein,1
2017-10-26T05:00:00Z,harvey weinstein,2
2017-10-27T05:00:00Z,harvey weinstein,1
2017-10-28T05:00:00Z,harvey weinstein,1
2017-10-29T05:00:00Z,harvey weinstein,1
2017-10-30T05:00:00Z,harvey weinstein,1
2017-10-31T05:00:00Z,harvey weinstein,1
2017-11-01T05:00:00Z,harvey weinstein,1
2017-11-02T05:00:00Z,harvey weinstein,1
2017-11-03T05:00:00Z,harvey weinstein,1
2017-11-04T05:00:00Z,harvey weinstein,1
2017-11-05T05:00:00Z,harvey weinstein,1
2017-11-06T06:00:00Z,harvey weinstein,1
2017-11-07T06:00:00Z,harvey weinstein,1
2017-11-08T06:00:00Z,harvey weinstein,1
2017-11-09T06:00:00Z,harvey weinstein,1
2017-11-10T06:00:00Z,harvey weinstein,1
2017-11-11T06:00:00Z,harvey weinstein,1
2017-11-12T06:00:00Z,harvey weinstein,0
2017-11-13T06:00:00Z,harvey weinstein,0
2017-11-14T06:00:00Z,harvey weinstein,0
2017-11-15T06:00:00Z,harvey weinstein,0
2017-11-16T06:00:00Z,harvey weinstein,0
2017-11-17T06:00:00Z,harvey weinstein,0
2017-11-18T06:00:00Z,harvey weinstein,0
2017-11-19T06:00:00Z,harvey weinstein,0
2017-11-20T06:00:00Z,harvey weinstein,0
2017-11-21T06:00:00Z,harvey weinstein,0
2017-11-22T06:00:00Z,harvey weinstein,0
2017-11-23T06:00:00Z,harvey weinstein,0
2017-11-24T06:00:00Z,harvey weinstein,1
2017-11-25T06:00:00Z,harvey weinstein,0
2017-11-26T06:00:00Z,harvey weinstein,0
2017-11-27T06:00:00Z,harvey weinstein,0
2017-11-28T06:00:00Z,harvey weinstein,0
2017-11-29T06:00:00Z,harvey weinstein,0
2017-11-30T06:00:00Z,harvey weinstein,0
2017-12-01T06:00:00Z,harvey weinstein,0
2017-12-02T06:00:00Z,harvey weinstein,0
2017-12-03T06:00:00Z,harvey weinstein,0
2017-12-04T06:00:00Z,harvey weinstein,0
2017-12-05T06:00:00Z,harvey weinstein,0
2017-12-06T06:00:00Z,harvey weinstein,1
2017-12-07T06:00:00Z,harvey weinstein,0
2017-10-01T05:00:00Z,terry richardson,0
2017-10-02T05:00:00Z,terry richardson,0
2017-10-03T05:00:00Z,terry richardson,0
2017-10-04T05:00:00Z,terry richardson,0
2017-10-05T05:00:00Z,terry richardson,0
2017-10-06T05:00:00Z,terry richardson,0
2017-10-07T05:00:00Z,terry richardson,0
2017-10-08T05:00:00Z,terry richardson,0
2017-10-09T05:00:00Z,terry richardson,0
2017-10-10T05:00:00Z,terry richardson,0
2017-10-11T05:00:00Z,terry richardson,0
2017-10-12T05:00:00Z,terry richardson,0
2017-10-13T05:00:00Z,terry richardson,0
2017-10-14T05:00:00Z,terry richardson,0
2017-10-15T05:00:00Z,terry richardson,0
2017-10-16T05:00:00Z,terry richardson,0
2017-10-17T05:00:00Z,terry richardson,0
2017-10-18T05:00:00Z,terry richardson,0
2017-10-19T05:00:00Z,terry richardson,0
2017-10-20T05:00:00Z,terry richardson,0
2017-10-21T05:00:00Z,terry richardson,0
2017-10-22T05:00:00Z,terry richardson,0
2017-10-23T05:00:00Z,terry richardson,0
2017-10-24T05:00:00Z,terry richardson,1
2017-10-25T05:00:00Z,terry richardson,0
2017-10-26T05:00:00Z,terry richardson,0
2017-10-27T05:00:00Z,terry richardson,0
2017-10-28T05:00:00Z,terry richardson,0
2017-10-29T05:00:00Z,terry richardson,0
2017-10-30T05:00:00Z,terry richardson,0
2017-10-31T05:00:00Z,terry richardson,0
2017-11-01T05:00:00Z,terry richardson,0
2017-11-02T05:00:00Z,terry richardson,0
2017-11-03T05:00:00Z,terry richardson,0
2017-11-04T05:00:00Z,terry richardson,0
2017-11-05T05:00:00Z,terry richardson,0
2017-11-06T06:00:00Z,terry richardson,0
2017-11-07T06:00:00Z,terry richardson,0
2017-11-08T06:00:00Z,terry richardson,0
2017-11-09T06:00:00Z,terry richardson,0
2017-11-10T06:00:00Z,terry richardson,0
2017-11-11T06:00:00Z,terry richardson,0
2017-11-12T06:00:00Z,terry richardson,0
2017-11-13T06:00:00Z,terry richardson,0
2017-11-14T06:00:00Z,terry richardson,0
2017-11-15T06:00:00Z,terry richardson,0
2017-11-16T06:00:00Z,terry richardson,0
2017-11-17T06:00:00Z,terry richardson,0
2017-11-18T06:00:00Z,terry richardson,0
2017-11-19T06:00:00Z,terry richardson,0
2017-11-20T06:00:00Z,terry richardson,0
2017-11-21T06:00:00Z,terry richardson,0
2017-11-22T06:00:00Z,terry richardson,0
2017-11-23T06:00:00Z,terry richardson,0
2017-11-24T06:00:00Z,terry richardson,0
2017-11-25T06:00:00Z,terry richardson,0
2017-11-26T06:00:00Z,terry richardson,0
2017-11-27T06:00:00Z,terry richardson,0
2017-11-28T06:00:00Z,terry richardson,0
2017-11-29T06:00:00Z,terry richardson,0
