date_start,station,w_other,count_date_station_w_other
2017-12-01,Bloomberg,Weinstein,0
2017-12-01,CNBC,Others,0
2017-12-01,CNBC,Weinstein,0
2017-12-01,CNN,Others,31
2017-12-01,CNN,Weinstein,1
2017-12-01,Fox Business,Others,71
2017-12-01,Fox Business,Weinstein,8
2017-12-01,Fox News,Others,85
2017-12-01,Fox News,Weinstein,2
2017-12-01,MSNBC,Others,17
2017-12-01,MSNBC,Weinstein,0
2017-12-02,Bloomberg,Others,4
2017-12-02,Bloomberg,Weinstein,4
2017-12-02,CNBC,Others,0
2017-12-02,CNBC,Weinstein,0
2017-12-02,CNN,Others,1
2017-12-02,CNN,Weinstein,1
2017-12-02,Fox Business,Others,13
2017-12-02,Fox Business,Weinstein,0
2017-12-02,Fox News,Others,55
2017-12-02,Fox News,Weinstein,1
2017-12-02,MSNBC,Others,1
2017-12-02,MSNBC,Weinstein,0
2017-12-03,Bloomberg,Others,4
2017-12-03,Bloomberg,Weinstein,0
2017-12-03,CNBC,Others,0
2017-12-03,CNBC,Weinstein,0
2017-12-03,CNN,Others,4
2017-12-03,CNN,Weinstein,2
2017-12-03,Fox Business,Others,15
2017-12-03,Fox Business,Weinstein,0
2017-12-03,Fox News,Others,40
2017-12-03,Fox News,Weinstein,4
2017-12-03,MSNBC,Others,19
2017-12-03,MSNBC,Weinstein,3
2017-12-04,Bloomberg,Others,0
2017-12-04,Bloomberg,Weinstein,0
2017-12-04,CNBC,Others,3
2017-12-04,CNBC,Weinstein,0
2017-12-04,CNN,Others,16
2017-12-04,CNN,Weinstein,0
2017-12-04,Fox Business,Others,29
2017-12-04,Fox Business,Weinstein,0
2017-12-04,Fox News,Others,10
2017-12-04,Fox News,Weinstein,1
2017-12-04,MSNBC,Others,18
2017-12-04,MSNBC,Weinstein,4
2017-12-05,Bloomberg,Others,4
2017-12-05,Bloomberg,Weinstein,1
2017-12-05,CNBC,Others,15
2017-12-05,CNBC,Weinstein,0
2017-12-05,CNN,Others,50
2017-12-05,CNN,Weinstein,4
2017-12-05,Fox Business,Others,31
2017-12-05,Fox Business,Weinstein,0
2017-12-05,Fox News,Others,53
2017-12-05,Fox News,Weinstein,1
2017-12-05,MSNBC,Others,50
2017-12-05,MSNBC,Weinstein,1
2017-12-06,Bloomberg,Others,1
2017-12-06,Bloomberg,Weinstein,3
2017-12-06,CNBC,Others,10
2017-12-06,CNBC,Weinstein,4
2017-12-06,CNN,Others,71
2017-12-06,CNN,Weinstein,2
2017-12-06,Fox Business,Others,58
2017-12-06,Fox Business,Weinstein,6
2017-12-06,Fox News,Others,103
2017-12-06,Fox News,Weinstein,6
2017-12-06,MSNBC,Others,51
2017-12-06,MSNBC,Weinstein,7
2017-12-07,Bloomberg,Others,20
2017-12-07,Bloomberg,Weinstein,2
2017-12-07,CNBC,Others,5
2017-12-07,CNBC,Weinstein,4
2017-12-07,CNN,Others,113
2017-12-07,CNN,Weinstein,2
2017-12-07,Fox Business,Others,95
2017-12-07,Fox Business,Weinstein,1
2017-12-07,Fox News,Others,137
2017-12-07,Fox News,Weinstein,5
2017-12-07,MSNBC,Others,194
2017-12-07,MSNBC,Weinstein,4
